,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,can_population,can_male_pop,can_fem_pop,can_swiss_pop,can_swiss_male,can_swiss_fem,can_foreign_pop,can_foreign_male,can_foreign_fem,can_swiss_promille,can_foreign_promille,district
53,6088 VERNAMIEGE,199,95,104,199,95,104,—,—,—,1000,,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
54,6089 VEX,829,420,409,803,406,397,26,14,12,969,31,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
56,6101 AGARN,535,272,263,528,268,260,7,4,3,987,13,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
57,6102 ALBINEN,250,139,111,247,139,108,3,—,3,988,12,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
58,6103 BRATSCH,470,240,230,470,240,230,—,—,—,1000,—,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
59,6104 ERGISCH,171,92,79,170,92,78,1,—,1,994,6,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
0,6106 FESCHEL,97,46,51,97,46,51,-,-,-,1000,-,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
1,6107 GAMPEL,1069,536,533,1016,498,518,53,38,15,950,50,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
2,6108 GUTTET,296,167,129,291,163,128,5,4,1,983,17,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
3,6109 INDEN,69,30,39,56,25,31,13,5,8,812,188,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
4,6110 LEUK,2983,1443,1540,2908,1403,1505,75,40,35,975,25,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
5,6111 LEUKERBAD,1070,512,558,972,449,523,98,63,35,908,92,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
6,6112 OBEREMS,131,65,66,131,65,66,-,-,-,1000,-,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
7,6113 SALGESCH,1089,578,511,1074,566,508,15,12,3,986,14,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
8,6114 TURTMANN,831,423,408,797,392,405,34,31,3,959,41,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
9,6115 UNTEREMS,151,70,81,143,69,74,8,1,7,947,53,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
10,6116 VAREN,614,315,299,593,300,293,21,15,6,966,34,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
12,6131 BOVERNIER,607,315,292,599,309,290,8,6,2,987,13,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
13,6132 CHARRAT,938,486,452,854,429,425,84,57,27,910,90,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
14,6133 FULLY,3926,1950,1976,3824,1892,1932,102,58,44,974,26,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
15,6134 ISERABLES,1087,551,536,1085,551,534,2,-,2,998,2,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
16,6135 LEYTRON,1793,882,911,1729,846,883,64,36,28,964,36,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
17,6136 MARTIGNY,11309,5439,5870,9260,4305,4955,2049,1134,915,819,181,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
18,6137 MARTIGNY-COMBE,1028,524,504,991,500,491,37,24,13,964,36,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
19,6139 RIDDES,1786,903,883,1582,761,821,204,142,62,886,114,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
20,6140 SAILLON,860,446,414,838,432,406,22,14,8,974,26,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
21,6141 SAXON,2394,1160,1234,2257,1091,1166,137,69,68,943,57,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
22,6142 TRIENT,81,39,42,77,35,42,4,4,-,951,49,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
24,6151 CHAMPERY,890,448,442,836,419,417,54,29,25,939,61,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
